Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Brad,2020-07-08 23:21:31,00:42:23,,Hannibal: Season 3: Aperitivo (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:43,00:42:43,US (United States)
Brad,2020-07-08 22:38:52,00:42:33,,Hannibal: Season 3: Secondo (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:03,00:43:03,US (United States)
Brad,2020-07-08 22:38:33,00:00:01,,Hannibal: Season 3: Secondo (Episode 3),,DefaultWidevineAndroidPhone,00:00:31,Not latest view,US (United States)
Brad,2020-07-08 02:43:31,00:00:07,,Hannibal: Season 3: Secondo (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:00:37,Not latest view,US (United States)
Brad,2020-07-08 01:59:09,00:43:03,,Hannibal: Season 3: Primavera (Episode 2),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:03,00:43:03,US (United States)
Brad,2020-07-08 01:58:47,00:00:02,,Hannibal: Season 3: Primavera (Episode 2),,DefaultWidevineAndroidPhone,00:00:02,Not latest view,US (United States)
Brad,2020-07-08 01:58:07,00:00:04,,Hannibal: Season 2: Ko No Mono (Episode 11),,DefaultWidevineAndroidPhone,00:26:47,00:26:47,US (United States)
Brad,2020-07-05 04:59:38,00:00:16,,Hannibal: Season 2: Ko No Mono (Episode 11),,DefaultWidevineAndroidPhone,00:26:44,Not latest view,US (United States)
Brad,2020-07-02 04:16:11,00:34:47,,Hannibal: Season 2: Ko No Mono (Episode 11),,Vizio MG244 FXCN SX7 CAST Smart TV,00:34:47,Not latest view,US (United States)
Brad,2020-07-02 00:54:40,00:46:07,,Hannibal: Season 2: Naka-Choko (Episode 10),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:46,00:42:46,US (United States)
Brad,2020-07-02 00:11:47,00:42:48,,Hannibal: Season 2: Shiizakana (Episode 9),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:48,00:42:48,US (United States)
Brad,2020-06-30 03:29:28,00:42:15,,Hannibal: Season 2: Su-zakana (Episode 8),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:41,00:42:41,US (United States)
Brad,2020-06-30 02:46:20,00:43:03,,Hannibal: Season 2: Yakimono (Episode 7),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:03,00:43:03,US (United States)
Brad,2020-06-29 22:59:41,00:00:03,,Hannibal: Season 2: Yakimono (Episode 7),,Vizio MG244 FXCN SX7 CAST Smart TV,00:00:29,Not latest view,US (United States)
Brad,2020-06-29 22:16:29,00:42:50,,Hannibal: Season 2: Futamono (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:50,00:42:50,US (United States)
Brad,2020-06-29 22:13:38,00:00:01,,Hannibal: Season 2: Futamono (Episode 6),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-29 03:07:59,00:32:47,,Hannibal: Season 2: Mukozuke (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:35,00:42:35,US (United States)
Brad,2020-06-29 02:31:38,00:36:11,,Space Force: Season 1: PROPORTIONATE RESPONSE (Episode 10),,Vizio MG244 FXCN SX7 CAST Smart TV,00:35:41,00:35:41,US (United States)
Brad,2020-06-29 02:31:26,00:00:02,,Space Force: Season 1: PROPORTIONATE RESPONSE (Episode 10),,DefaultWidevineAndroidPhone,00:00:02,Not latest view,US (United States)
Brad,2020-06-29 01:07:16,00:09:19,,Hannibal: Season 2: Mukozuke (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:09:49,Not latest view,US (United States)
Brad,2020-06-29 00:24:35,00:42:36,,Hannibal: Season 2: Takiawase (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:04,00:43:04,US (United States)
Brad,2020-06-28 23:42:09,00:42:19,,Hannibal: Season 2: Hassun (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:05,00:43:05,US (United States)
Brad,2020-06-28 22:59:05,00:42:56,,Hannibal: Season 2: Sakizuke (Episode 2),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:07,00:43:07,US (United States)
Brad,2020-06-27 22:31:38,00:32:03,,Space Force: Season 1: IT’S GOOD TO BE BACK ON THE MOON (Episode 9),,Vizio MG244 FXCN SX7 CAST Smart TV,00:32:17,00:32:17,US (United States)
Brad,2020-06-27 21:35:23,00:29:19,,Space Force: Season 1: CONJUGAL VISIT (Episode 8),,Vizio MG244 FXCN SX7 CAST Smart TV,00:29:33,00:29:33,US (United States)
Brad,2020-06-27 21:07:58,00:25:13,,Space Force: Season 1: EDISON JAYMES (Episode 7),,Vizio MG244 FXCN SX7 CAST Smart TV,00:25:27,00:25:27,US (United States)
Brad,2020-06-27 20:25:08,00:35:23,,Space Force: Season 1: THE SPY (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:32:31,00:32:31,US (United States)
Brad,2020-06-27 19:57:15,00:27:45,,Space Force: Season 1: SPACE FLAG (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:27:59,00:27:59,US (United States)
Brad,2020-06-27 19:26:47,00:30:20,,Space Force: Season 1: LUNAR HABITAT (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:30:22,00:30:22,US (United States)
Brad,2020-06-27 19:26:20,00:00:04,,Space Force: Season 1: LUNAR HABITAT (Episode 4),,DefaultWidevineAndroidPhone,00:00:03,Not latest view,US (United States)
Brad,2020-06-27 19:26:07,00:00:09,,Space Force: Season 1: MARK AND MALLORY GO TO WASHINGTON (Episode 3),,DefaultWidevineAndroidPhone,00:27:17,00:27:17,US (United States)
Brad,2020-06-27 02:32:03,00:33:36,,Space Force: Season 1: MARK AND MALLORY GO TO WASHINGTON (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:27:42,Not latest view,US (United States)
Brad,2020-06-27 02:00:49,00:29:38,,Space Force: Season 1: SAVE EPSILON 6! (Episode 2),,Vizio MG244 FXCN SX7 CAST Smart TV,00:29:52,00:29:52,US (United States)
Brad,2020-06-27 01:25:58,00:34:24,,Space Force: Season 1: THE LAUNCH (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:34:24,00:34:24,US (United States)
Brad,2020-06-26 02:57:38,00:42:39,,Hannibal: Season 2: Kaiseki (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:39,00:42:39,US (United States)
Brad,2020-06-25 23:59:45,00:42:39,,Hannibal: Season 1: Savoureux (Episode 13),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:39,00:42:39,US (United States)
Brad,2020-06-25 01:24:19,00:42:21,,Hannibal: Season 1: Relevés (Episode 12),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:52,00:42:52,US (United States)
Brad,2020-06-25 01:06:16,00:17:56,,Hannibal: Season 1: Rôti (Episode 11),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:02,00:43:02,US (United States)
Brad,2020-06-24 23:50:25,00:25:55,,Hannibal: Season 1: Rôti (Episode 11),,Vizio MG244 FXCN SX7 CAST Smart TV,00:25:55,Not latest view,US (United States)
Brad,2020-06-24 21:49:18,00:39:19,,Hannibal: Season 1: Buffet froid (Episode 10),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:49,00:42:49,US (United States)
Brad,2020-06-24 03:30:02,00:03:19,,Hannibal: Season 1: Buffet froid (Episode 10),,Vizio MG244 FXCN SX7 CAST Smart TV,00:03:49,Not latest view,US (United States)
Brad,2020-06-24 02:55:22,00:34:34,,Hannibal: Season 1: Trou normand (Episode 9),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:04,00:43:04,US (United States)
Brad,2020-06-24 02:11:04,00:08:23,,Hannibal: Season 1: Trou normand (Episode 9),,Vizio MG244 FXCN SX7 CAST Smart TV,00:08:53,Not latest view,US (United States)
Brad,2020-06-24 01:27:54,00:43:04,,Hannibal: Season 1: Fromage (Episode 8),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:04,00:43:04,US (United States)
Brad,2020-06-23 23:54:19,00:43:04,,Hannibal: Season 1: Sorbet (Episode 7),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:02,00:43:02,US (United States)
Brad,2020-06-23 03:28:44,00:41:41,,Hannibal: Season 1: Entrée (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:25,00:42:25,US (United States)
Brad,2020-06-23 00:47:54,00:00:02,,Hannibal: Season 1: Entrée (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:00:46,Not latest view,US (United States)
Brad,2020-06-23 00:17:50,00:29:58,,Hannibal: Season 1: Coquilles (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:42:54,00:42:54,US (United States)
Brad,2020-06-23 00:17:07,00:00:10,,Hannibal: Season 1: Coquilles (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:13:00,Not latest view,US (United States)
Brad,2020-06-22 23:47:28,00:12:11,,Hannibal: Season 1: Coquilles (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:12:57,Not latest view,US (United States)
Brad,2020-06-22 23:04:47,00:42:32,,Hannibal: Season 1: Œufs (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:02,00:43:02,US (United States)
Brad,2020-06-22 22:58:22,00:06:14,,Hannibal: Season 1: Potage (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:43:02,00:43:02,US (United States)
Brad,2020-06-22 22:57:52,00:00:08,,Hannibal: Season 1: Potage (Episode 3),,DefaultWidevineAndroidPhone,00:36:49,Not latest view,US (United States)
Brad,2020-06-22 21:42:51,00:00:05,Autoplayed: user action: None; ,Uncut Gems_hook_primary_16x9,HOOK,Sony PS4,00:00:05,00:00:05,US (United States)
Brad,2020-06-22 03:36:23,00:36:10,Autoplayed: user action: None; ,Hannibal: Season 1: Potage (Episode 3),,Sony PS4,00:36:43,Not latest view,US (United States)
Brad,2020-06-22 02:54:24,00:41:56,Autoplayed: user action: None; ,Hannibal: Season 1: Amuse-bouche (Episode 2),,Sony PS4,00:42:30,00:42:30,US (United States)
Brad,2020-06-22 02:42:49,00:11:32,Autoplayed: user action: Unspecified; ,Hannibal: Season 1: Apéritif (Episode 1),,Sony PS4,00:42:39,00:42:39,US (United States)
Brad,2020-06-21 23:25:17,00:31:46,,Hannibal: Season 1: Apéritif (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:31:46,Not latest view,US (United States)
Brad,2020-06-21 23:23:26,00:00:37,,The Old Guard (Trailer),TRAILER,DefaultWidevineAndroidPhone,00:00:37,00:00:37,US (United States)
Brad,2020-06-21 23:20:55,00:00:40,,Hannibal: Season 1_hook_primary_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:40,00:00:40,US (United States)
Brad,2020-06-21 22:38:46,00:41:07,,Freud: Season 1: Suppression (Episode 8),,Vizio MG244 FXCN SX7 CAST Smart TV,00:52:31,00:52:31,US (United States)
Brad,2020-06-21 22:38:18,00:00:01,,Freud: Season 1: Suppression (Episode 8),,DefaultWidevineAndroidPhone,00:11:24,Not latest view,US (United States)
Brad,2020-06-21 22:38:11,00:00:02,,Freud: Season 1: Catharsis (Episode 7),,DefaultWidevineAndroidPhone,00:21:12,00:21:12,US (United States)
Brad,2020-06-21 22:37:56,00:00:10,,Freud: Season 1: Catharsis (Episode 7),,DefaultWidevineAndroidPhone,00:21:15,Not latest view,US (United States)
Brad,2020-06-21 20:24:17,00:11:44,Autoplayed: user action: Unspecified; ,Freud: Season 1: Suppression (Episode 8),,Sony PS4,00:11:32,Not latest view,US (United States)
Brad,2020-06-21 19:40:53,00:43:21,Autoplayed: user action: None; ,Freud: Season 1: Catharsis (Episode 7),,Sony PS4,00:43:27,Not latest view,US (United States)
Brad,2020-06-21 19:00:10,00:40:38,Autoplayed: user action: Unspecified; ,Freud: Season 1: Regression (Episode 6),,Sony PS4,00:47:54,00:47:54,US (United States)
Brad,2020-06-21 18:06:53,00:00:06,,Freud: Season 1: Regression (Episode 6),,DefaultWidevineAndroidPhone,00:07:23,Not latest view,US (United States)
Brad,2020-06-21 01:20:24,00:07:20,,Freud: Season 1: Regression (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:07:20,Not latest view,US (United States)
Brad,2020-06-21 00:01:15,00:53:50,,Freud: Season 1: Desire (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:53:50,00:53:50,US (United States)
Brad,2020-06-19 03:49:20,00:50:26,,Freud: Season 1: Totem and Taboo (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:50:26,00:50:26,US (United States)
Brad,2020-06-19 03:49:00,00:00:01,,Freud: Season 1: Totem and Taboo (Episode 4),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-19 02:23:47,00:33:07,,Freud: Season 1: Somnambulant (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:33:11,00:33:11,US (United States)
Brad,2020-06-19 02:23:25,00:00:04,,Freud: Season 1: Somnambulant (Episode 3),,DefaultWidevineAndroidPhone,00:00:04,Not latest view,US (United States)
Brad,2020-06-19 01:01:07,00:54:07,,Freud: Season 1: Trauma (Episode 2),,Vizio MG244 FXCN SX7 CAST Smart TV,00:54:13,00:54:13,US (United States)
Brad,2020-06-19 00:03:54,00:57:04,,Freud: Season 1: Hysteria (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:56:55,00:56:55,US (United States)
Brad,2020-06-19 00:03:31,00:00:01,,Freud: Season 1: Hysteria (Episode 1),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-19 00:02:44,00:00:05,,Hannibal: Season 1_hook_primary_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:05,Not latest view,US (United States)
Brad,2020-06-18 23:41:21,00:00:07,,Season 1 Trailer: BNA,TRAILER,DefaultWidevineAndroidPhone,00:00:06,00:00:06,US (United States)
Brad,2020-06-18 21:45:36,01:20:11,,Kill the Messenger,,Vizio MG244 FXCN SX7 CAST Smart TV,01:35:50,01:35:50,US (United States)
Brad,2020-06-18 21:45:12,00:00:04,,Kill the Messenger,,DefaultWidevineAndroidPhone,00:15:39,Not latest view,US (United States)
Brad,2020-06-18 21:44:34,00:00:23,,Kill the Messenger,,Vizio MG244 FXCN SX7 CAST Smart TV,00:02:23,Not latest view,US (United States)
Brad,2020-06-18 21:44:15,00:00:01,,Kill the Messenger,,DefaultWidevineAndroidPhone,00:02:01,Not latest view,US (United States)
Brad,2020-06-18 21:11:07,00:16:11,,Kill the Messenger,,Vizio MG244 FXCN SX7 CAST Smart TV,00:16:13,Not latest view,US (United States)
Brad,2020-06-18 21:10:44,00:00:03,,Kill the Messenger,,DefaultWidevineAndroidPhone,00:00:03,Not latest view,US (United States)
Brad,2020-06-18 01:27:53,00:46:47,,Making a Murderer: Part 2: Number 18 (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:46:51,00:46:51,US (United States)
Brad,2020-06-18 00:25:50,01:01:57,,Making a Murderer: Part 1: Fighting for their Lives (Episode 10),,Vizio MG244 FXCN SX7 CAST Smart TV,01:02:03,01:02:03,US (United States)
Brad,2020-06-17 23:20:51,01:04:53,,Making a Murderer: Part 1: Lack of Humility (Episode 9),,Vizio MG244 FXCN SX7 CAST Smart TV,01:04:53,01:04:53,US (United States)
Brad,2020-06-17 21:26:04,00:44:55,,Making a Murderer: Part 1: The Great Burden (Episode 8),,Vizio MG244 FXCN SX7 CAST Smart TV,00:44:55,00:44:55,US (United States)
Brad,2020-06-17 01:34:44,01:00:06,,Making a Murderer: Part 1: Framing Defense (Episode 7),,Vizio MG244 FXCN SX7 CAST Smart TV,01:01:06,01:01:06,US (United States)
Brad,2020-06-17 01:34:20,00:00:02,,Making a Murderer: Part 1: Framing Defense (Episode 7),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-17 00:13:54,00:57:39,,Making a Murderer: Part 1: Testing the Evidence (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:57:43,00:57:43,US (United States)
Brad,2020-06-17 00:04:31,00:09:17,,Making a Murderer: Part 1: The Last Person to See Teresa Alive (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:57:26,00:57:26,US (United States)
Brad,2020-06-16 22:12:30,00:45:50,,Making a Murderer: Part 1: The Last Person to See Teresa Alive (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:48:49,Not latest view,US (United States)
Brad,2020-06-16 21:01:57,00:03:15,,Making a Murderer: Part 1: The Last Person to See Teresa Alive (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:03:15,Not latest view,US (United States)
Brad,2020-06-16 03:17:36,01:04:23,,Making a Murderer: Part 1: Indefensible (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,01:04:23,01:04:23,US (United States)
Brad,2020-06-16 03:14:54,00:00:21,,Making a Murderer: Part 1: Indefensible (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:00:21,Not latest view,US (United States)
Brad,2020-06-16 03:14:40,00:00:01,,Making a Murderer: Part 1: Indefensible (Episode 4),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-16 03:14:13,00:00:18,,Making a Murderer: Part 1: Plight of the Accused (Episode 3),,DefaultWidevineAndroidPhone,01:03:13,01:03:13,US (United States)
Brad,2020-06-16 03:13:30,00:00:08,,Making a Murderer: Part 1: Plight of the Accused (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:56:19,Not latest view,US (United States)
Brad,2020-06-15 23:21:11,00:56:15,,Making a Murderer: Part 1: Plight of the Accused (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:56:15,Not latest view,US (United States)
Brad,2020-06-15 22:22:07,00:55:01,,Making a Murderer: Part 1: Turning the Tables (Episode 2),,Vizio MG244 FXCN SX7 CAST Smart TV,00:55:05,00:55:05,US (United States)
Brad,2020-06-15 21:50:05,00:31:53,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,01:03:09,01:03:09,US (United States)
Brad,2020-06-15 21:49:43,00:00:01,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,DefaultWidevineAndroidPhone,00:31:16,Not latest view,US (United States)
Brad,2020-06-15 03:04:37,00:18:04,,Altered Carbon: Resleeved,,Vizio MG244 FXCN SX7 CAST Smart TV,00:18:04,00:18:04,US (United States)
Brad,2020-06-15 03:04:14,00:00:02,,Altered Carbon: Resleeved,,DefaultWidevineAndroidPhone,00:00:02,Not latest view,US (United States)
Brad,2020-06-14 23:49:27,00:13:42,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:31:19,Not latest view,US (United States)
Brad,2020-06-14 23:48:19,00:00:01,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,DefaultWidevineAndroidPhone,00:17:38,Not latest view,US (United States)
Brad,2020-06-14 01:09:19,00:20:13,,"Tinker, Tailor, Soldier, Spy",,Vizio MG244 FXCN SX7 CAST Smart TV,00:39:33,00:39:33,US (United States)
Brad,2020-06-13 23:39:59,00:18:34,,"Tinker, Tailor, Soldier, Spy",,Vizio MG244 FXCN SX7 CAST Smart TV,00:19:50,Not latest view,US (United States)
Brad,2020-06-13 23:39:31,00:00:01,,"Tinker, Tailor, Soldier, Spy",,DefaultWidevineAndroidPhone,00:01:18,Not latest view,US (United States)
Brad,2020-06-13 21:38:48,00:01:24,,"Tinker, Tailor, Soldier, Spy",,Vizio MG244 FXCN SX7 CAST Smart TV,00:01:24,Not latest view,US (United States)
Brad,2020-06-13 21:38:37,00:00:01,,"Tinker, Tailor, Soldier, Spy",,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-12 00:56:55,00:17:37,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,Vizio MG244 FXCN SX7 CAST Smart TV,00:17:37,Not latest view,US (United States)
Brad,2020-06-12 00:55:35,00:00:01,,Making a Murderer: Part 1: Eighteen Years Lost (Episode 1),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-10 23:30:41,00:37:55,,Wormwood: Chapters 1-6: Chapter 6: Remember Me (Episode 6),,Vizio MG244 FXCN SX7 CAST Smart TV,00:38:03,00:38:03,US (United States)
Brad,2020-06-10 22:51:42,00:38:53,,Wormwood: Chapters 1-6: Chapter 5: Honorable Men (Episode 5),,Vizio MG244 FXCN SX7 CAST Smart TV,00:39:01,00:39:01,US (United States)
Brad,2020-06-10 22:03:45,00:44:51,,Wormwood: Chapters 1-6: Chapter 4: Opening the Lid (Episode 4),,Vizio MG244 FXCN SX7 CAST Smart TV,00:44:57,00:44:57,US (United States)
Brad,2020-06-10 21:58:20,00:05:18,,Wormwood: Chapters 1-6: Chapter 3: The Forbidden Threshold (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:38:26,00:38:26,US (United States)
Brad,2020-06-10 21:57:59,00:00:02,,Wormwood: Chapters 1-6: Chapter 3: The Forbidden Threshold (Episode 3),,DefaultWidevineAndroidPhone,00:33:08,Not latest view,US (United States)
Brad,2020-06-10 01:28:49,00:33:55,,Wormwood: Chapters 1-6: Chapter 3: The Forbidden Threshold (Episode 3),,Vizio MG244 FXCN SX7 CAST Smart TV,00:33:55,Not latest view,US (United States)
Brad,2020-06-10 01:28:28,00:00:01,,Wormwood: Chapters 1-6: Chapter 3: The Forbidden Threshold (Episode 3),,DefaultWidevineAndroidPhone,00:00:01,Not latest view,US (United States)
Brad,2020-06-10 00:34:05,00:02:43,,HERO MASK: Part l: Episode 5,,Vizio MG244 FXCN SX7 CAST Smart TV,00:04:21,00:04:21,US (United States)
Brad,2020-06-10 00:10:45,00:23:15,,HERO MASK: Part l: Episode 4,,Vizio MG244 FXCN SX7 CAST Smart TV,00:23:25,00:23:25,US (United States)
Brad,2020-06-09 23:38:20,00:23:13,,HERO MASK: Part l: Episode 3,,Vizio MG244 FXCN SX7 CAST Smart TV,00:23:23,00:23:23,US (United States)
Brad,2020-06-09 23:14:49,00:23:25,,HERO MASK: Part l: Episode 2,,Vizio MG244 FXCN SX7 CAST Smart TV,00:23:25,00:23:25,US (United States)
Brad,2020-06-09 23:14:09,00:00:06,,HERO MASK: Part l: Episode 2,,DefaultWidevineAndroidPhone,00:00:06,Not latest view,US (United States)
Brad,2020-06-09 23:12:56,00:00:26,,Season 1:30 Product Preview: Space Force,PREVIEW,DefaultWidevineAndroidPhone,00:00:16,00:00:16,US (United States)
Brad,2020-06-04 03:06:20,00:24:27,,HERO MASK: Part l: Episode 1,,Vizio MG244 FXCN SX7 CAST Smart TV,00:24:27,00:24:27,US (United States)
Brad,2020-06-04 02:17:51,00:48:22,,Tomorrow Never Dies,,Vizio MG244 FXCN SX7 CAST Smart TV,01:58:40,01:58:40,US (United States)
Brad,2020-06-04 02:17:26,00:00:01,,Tomorrow Never Dies,,DefaultWidevineAndroidPhone,01:10:19,Not latest view,US (United States)
Brad,2020-06-02 01:20:06,00:47:03,,Tomorrow Never Dies,,Sony PS4,01:10:18,Not latest view,US (United States)
Brad,2020-06-01 23:29:11,00:23:21,Autoplayed: user action: Unspecified; ,Tomorrow Never Dies,,Sony PS4,00:23:21,Not latest view,US (United States)
Brad,2020-06-01 23:29:05,00:00:02,Autoplayed: user action: None; ,GoldenEye,,Sony PS4,00:00:02,00:00:02,US (United States)
Brad,2020-06-01 23:28:55,00:00:03,Autoplayed: user action: None; ,The World Is Not Enough,,Sony PS4,00:00:03,00:00:03,US (United States)
Brad,2020-06-01 23:28:46,00:00:02,Autoplayed: user action: None; ,Tomorrow Never Dies,,Sony PS4,00:00:02,Not latest view,US (United States)
Brad,2020-06-01 22:01:48,00:21:43,,Parasyte: The Maxim: Season 1: Parasitic Beasts (Episode 24),,Vizio MG244 FXCN SX7 CAST Smart TV,00:21:43,00:21:43,US (United States)
Brad,2020-06-01 21:41:07,00:20:34,,Parasyte: The Maxim: Season 1: Life and Vows (Episode 23),,Vizio MG244 FXCN SX7 CAST Smart TV,00:21:56,00:21:56,US (United States)
Brad,2020-06-01 21:40:46,00:00:04,,Parasyte: The Maxim: Season 1: Life and Vows (Episode 23),,DefaultWidevineAndroidPhone,00:00:04,Not latest view,US (United States)
Brad,2020-06-01 03:37:48,00:21:27,,Parasyte: The Maxim: Season 1: Repose and Awakening (Episode 22),,Vizio MG244 FXCN SX7 CAST Smart TV,00:21:27,00:21:27,US (United States)
Brad,2020-06-01 03:15:44,00:21:58,,Parasyte: The Maxim: Season 1: Sex and Spirit (Episode 21),,Vizio MG244 FXCN SX7 CAST Smart TV,00:21:58,00:21:58,US (United States)
Brad,2020-06-01 02:55:02,00:20:36,,Parasyte: The Maxim: Season 1: Crime and Punishment (Episode 20),,Vizio MG244 FXCN SX7 CAST Smart TV,00:21:57,00:21:57,US (United States)
